title,price,cluster,min_distance_to_true,is_suspicious
"Математика. Рабочая тетрадь. 2 класс. В 2 частях. Часть 2 | Моро М. И., Волкова Светлана Ивановна",288.0,2,0.0,False
"Физика. 11 класс. Углубленный уровень. Учебник. ФГОС. УМК ""Вертикаль"" | Касьянов Валерий Алексеевич",757.0,1,0.0,False
"Английский язык 4 класс. Грамматический тренажер (к новому ФП). УМК""Spotlight. Английский в фокусе (2-4)"". ФГОС | Юшина Дарья Геннадьевна",316.0,1,9.536743e-07,True
"Русский язык 4 класс. Комплект из 2-х учебников. УМК""Начальная школа XXI века. Русский язык. Иванов С.В.и др.(1-4)"". ФГОС | Иванов Станислав Викторович, Кузнецова Марина Ивановна",1918.0,1,9.536743e-07,True
"Английский язык 2 класс. Рабочая тетрадь к новому учебному пособию. УМК""Enjoy English. Английский с удовольствием"". ФГОС | Биболетова Мерем Забатовна",431.0,1,0.0,False
Русский язык 7 класс. Рабочая тетрадь. Комплект из 2-х частей к новому ФП. ФГОС | Бондаренко Марина Анатольевна,512.0,1,0.0,False
"Раз - ступенька, два - ступенька... Математика для детей 5-7 лет (развитие ребенка). Часть 2. ФГОС ДО | Петерсон Людмила Георгиевна, Холина Надежда Павловна",341.0,1,0.0,False
"Математика 4 класс. Тетрадь для контрольных работ. УМК""Начальная школа XXI века. Математика Рудницкой В.Н.(1-4)"". ФГОС | Рудницкая Виктория Наумовна, Юдачева Татьяна Владимировна",416.0,1,0.0,False
"Игралочка. Практический курс Математики для детей 5-6 лет. Методические рекомендации. Часть 3 | Петерсон Людмила Георгиевна, Кочемасова Елена Евгеньевна",429.0,1,0.0,False
Математика. Тесты. 2 класс. ФГОС | Волкова Светлана Ивановна,268.0,2,0.0,False
"Алгебра 7 класс. Дидактические материалы. ФГОС | Звавич Леонид Исаакович, Кузнецова Л.",427.0,1,9.536743e-07,True
"Литературное чтение 2 класс. Учебное пособие в 2-х частях (к новому ФП). ФГОС | Ефросинина Любовь Александровна, Долгих Марина Викторовна",1923.0,1,9.536743e-07,True
"Мои достижения. Итоговые комплексные работы. 1 класс. (Стандарты 2-го поколения) | Логинова Ольга Борисовна, Яковлева Светлана Геннадьевна",633.0,1,0.0,False
"География 7 класс. Учебник. Страны и континенты. УМК ""Полярная звезда"" | Алексеев Александр Иванович, Липкина Елена Карловна",1201.0,1,0.0,False
Окружающий мир 2 класс. Рабочие тетради к новому ФП. Комплект из 2-х частей. ФГОС | Плешаков Андрей Анатольевич,733.0,1,0.0,False
"География 5-6 классы. Атлас и Контурные карты (к новому ФП) с новыми регионами РФ. УМК ""Полярная звезда"". ФГОС | Есипова И. С., Матвеев Алексей Владимирович",504.0,1,0.0,False
"Прописи 1 класс. Комплект из 4-х частей к новому ФП. УМК ""Школа России"" В. Г. Горецкий. ФГОС | Горецкий Всеслав, Федосова Н.",795.0,1,0.0,False
История России 9 класс. Введение в Новейшую историю России. ФГОС | Никонов В. А.,921.0,1,9.536743e-07,True
"Игралочка-ступенька к школе. Математика для детей 6-7 лет. Часть 4 (2). ФГОС ДО | Петерсон Людмила Георгиевна, Кочемасова Елена Евгеньевна",326.0,1,0.0,False
"Литературное чтение 1 класс. Рабочая тетрадь. УМК Литературное чтение Ефросинина Л.А. (1-4). ФГОС | Ефросинина Любовь Александровна, Долгих Марина Викторовна",407.0,1,1.3486991e-06,True
Математика 4 класс. Углубленный уровень. Рабочая тетрадь. Комплект в 3-х частях,872.0,1,0.0,False
"Комплект Атлас и Контурные карты. История Древнего мира. 5 класс | Ляпустин Борис Сергеевич, Уколова Ирина Евгеньевна",449.0,1,9.536743e-07,True
"Вероятность и статистика. 7-9 классы. Учебник. Часть 2 ФГОС | Высоцкий Иван Ростиславович, Ященко Иван Валериевич",636.0,2,0.0,False
"Геометрия 9 класс. Учебник. УМК""Геометрия Мерзляка (7-9). Алгоритм успеха"". ФГОС | Мерзляк Аркадий Григорьевич, Якир Михаил Семенович",923.0,1,9.536743e-07,True
"Математика 4 класс. Учебник-тетрадь. Комплект из 3-х частей. УМК ""Учусь учиться. Математика Петерсон Л.Г. (1-4) (Лидер-кейс)"". ФГОС НОО | Петерсон Людмила Георгиевна",1407.0,1,9.536743e-07,True
"Английский язык 9 класс. Рабочая тетрадь. УМК""Английский язык Вербицкой М.В.""Forward""(5-9)"". ФГОС | Вербицкая Мария Валерьевна, Гаярделли Мариза",583.0,1,0.0,False
"История России 11 класс. 1945 год-начало XXI века. Базовый уровень. Новый единый учебник. ФГОС | Мединский Владимир Ростиславович, Торкунов Анатолий Васильевич",1256.0,1,9.536743e-07,True
"Английский язык 2 класс. Грамматический тренажер. Новый ФП. УМК ""Spotlight. Английский в фокусе"" | Юшина Дарья Геннадьевна",337.0,1,0.0,False
"Черчение. Прямоугольное проецирование и построение комплексного чертежа. Рабочая тетрадь №3. УМК ""Черчение. Преображенская Н.Г."" | Преображенская Наталья Георгиевна",394.0,1,0.0,False
"Биология 6 класс. Базовый уровень. Учебник к новому ФП. УМК ""Линия жизни"". ФГОС | Пасечник Владимир Васильевич, Суматохин Сергей Витальевич",1181.0,1,0.0,False
"Математика 1 класс. Самостоятельные и контрольные работы. Комплект в 2-х частях. УМК ""Учусь учиться. Математика Петерсон Л.Г.(1-4)(Лидер-Кейс). ФГОС НОО | Петерсон Людмила Георгиевна",594.0,1,0.0,False
"Математика и конструирование 2 класс. Учебное пособие (ФП 2022). УМК ""Школа России"". | Волкова Светлана Ивановна",386.0,1,9.536743e-07,True
"Алгебра 8 класс. Базовый уровень. Учебник к новому ФП. УМК ""Алгебра Макарычева Ю.Н. (7-9)"". ФГОС | Макарычев Юрий Николаевич, Миндюк Нора Григорьевна",1260.0,1,0.0,False
"География 7 класс. Атлас (к новому ФП). С новыми регионами РФ. ФГОС | Савельева Л., Котляр Ольга Геннадьевна",519.0,1,9.536743e-07,True
"Алгебра и начала математического анализа 10 класс. Углубленное изучение. Учебник. УМК""Алгебра Мерзляка (10-11)"". ФГОС | Мерзляк Аркадий Григорьевич, Поляков Виталий Михайлович",1442.0,1,1.3486991e-06,True
"Английский язык 5 класс. Учебник к новому ФП. УМК ""Английский в фокусе"". ФГОС | Ваулина Юлия Евгеньевна, Дули Дженни",1597.0,1,0.0,False
"Обществознание 11 класс. Учебник. Базовый уровень (к новому ФП). ФГОС | Боголюбов Леонид Наумович, Городецкая Наталия Ивановна",1126.0,1,0.0,False
"Математика 1 класс. Учебник. Комплект из 2-х частей к новому ФП. УМК ""Школа России"". ФГОС | Моро Мария Игнатьевна, Волкова Светлана Ивановна",1801.0,1,9.536743e-07,True
Математика 6 класс. Базовый уровень. Рабочая тетрадь к новому ФП. ФГОС | Ткачева Мария Владимировна,325.0,1,9.536743e-07,True
"Окружающий мир 1 класс. Тесты к учебнику А.А. Плешакова. ФГОС. УМК ""Школа России"" | Плешаков Андрей Анатольевич, Гара Наталья Николаевна",203.0,1,9.536743e-07,True
"Математика. 2 класс. Учебник. Часть 2. ФГОС | Моро М. И., Бантова Мария Александровна",1001.0,2,0.0,False
Русский язык. Летние задания. Переходим в 3-й класс (Школа России) | Никишенкова Александра Викторовна,215.0,2,0.0,False
"Литературное чтение 1 класс. Тетрадь по развитию речи | Бойкина Марина Викторовна, Бубнова Инна Анатольевна",360.0,1,0.0,False
"Английский язык 4 класс. Сборник упражнений у учебнику Н.И. Быковой. ФГОС. УМК ""Spotlight. Английский в фокусе"" | Быкова Надежда Ильинична, Поспелова Марина Давидовна",412.0,1,0.0,False
От А до Я. Рабочая тетрадь для детей 5-6 лет | Колесникова Елена Владимировна,286.0,1,0.0,False
"Сборник самостоятельных и контрольных работ к учебникам математики 5-6 классов Г.В. Дорофеева, Л.Г. Петерсон | Кубышева Марина Андреевна",299.0,1,0.0,False
"Математика. Алгебра 8 класс. Углублённый уровень. Учебное пособие. УМК Макарычева Ю.Н. ФГОС | Макарычев Юрий Николаевич, Миндюк Нора Григорьевна",1108.0,1,0.0,False
"Основы православной культуры 4 класс. Учебник. Комплект в 2-х частях. ОРКиСЭ. Новый ФП. ФГОС | Васильева Ольга Юрьевна, Протоиерей Олег Корытко",1707.0,1,0.0,False
"Математика 1 класс. Тетрадь учебных достижений. ФГОС. УМК ""Школа России"" | Волкова Светлана Ивановна",171.0,1,0.0,False
"Русский язык 1 класс. Тетрадь учебных достижений к учебнику В.П. Канакиной. ФГОС. УМК ""Школа России"" | Канакина Валентина Павловна",167.0,1,0.0,False
"География 5-6 классы. Планета Земля. Атлас. С новыми регионами РФ (к новому ФП). УМК Сферы. ФГОС | Савельева Л., Котляр Ольга",385.0,1,0.0,False
"Математика. Арифметика. Геометрия 5 класс. Тетрадь-тренажёр. УМК ""Сферы"" | Бунимович Евгений Абрамович, Кузнецова Людмила Викторовна",280.0,1,0.0,False
"Spotlight 11: Workbook / Английский язык. Рабочая тетрадь. 11 класс. (Английский в фокусе) | Афанасьева Ольга Васильевна, Дули Дженни",782.0,2,0.0,False
"Геометрия 8 класс. Учебное пособие. Базовый уровень. ФГОС | Мерзляк Аркадий Григорьевич, Якир Михаил Семенович",1039.0,1,9.536743e-07,True
"Химия 10 класс. Базовый уровень. Учебник | Габриелян Олег Сергеевич, Остроумов Игорь Геннадиевич",1027.0,1,9.536743e-07,True
Геометрия 7 класс. Самостоятельные и контрольные работы. Новый ФП. ФГОС | Иченская Мира Александровна,272.0,1,0.0,False
Истории России. XIX-начало XX века. 9 класс. Атлас. Новый историко-культурный стандарт | Приваловский Алексей Никитич,298.0,2,0.0,False
Математика 1 класс. Углублённый уровень. Развивающие самостоятельные и контрольные работы. 3 части,949.0,1,0.0,False
"Математика 6 класс. Дидактические материалы. УМК""Математика Мерзляка А.Г.(5-6)(Алгоритм успеха)"". ФГОС | Мерзляк Аркадий Григорьевич, Полонский Вадим Владимирович",384.0,1,0.0,False
"Итоговые тесты по русскому языку 2 класс. ФГОС | Мишакина Татьяна Леонидовна, Гладкова Светлана Анатольевна",217.0,1,0.0,False
"Черчение 9 класс. Учебник. УМК""Черчение. Преображенская Н.Г.(9)"" | Преображенская Наталья Георгиевна, Кодукова Ирина Владимировна",982.0,1,9.536743e-07,True
История. Введение в Новейшую историю России. 9 класс. Учебник | Рудник Сергей Николаевич,907.0,2,0.0,False
"Математика 5 класс. Контрольные работы. ФП 2022. УМК ""Математика Виленкина Н.Я. (5-6)"". ФГОС | Крайнева Лариса Борисовна",367.0,1,0.0,False
"Физика 9 класс. Базовый уровень. Учебник к новому ФП. УМК ""Физика Перышкина И.М. (7-9)"". ФГОС | Перышкин И. М., Иванов А. И.",1145.0,1,0.0,False
Четырехзначные математические таблицы | Брадис Владимир Модестович,311.0,1,0.0,False
"География 9 класс. География России. Учебник. УМК ""Полярная звезда"" | Алексеев Александр Иванович, Николина Вера Викторовна",1267.0,1,0.0,False
"К пятерке шаг за шагом, или 50 занятий с репетитором. Русский язык. Справочные материалы | Ахременкова Людмила Анатольевна",523.0,1,0.0,False
"Русский язык 5 класс. Учебник. Комплект из 2-х частей к новому ФП. ФГОС | Ладыженская Таиса Алексеевна, Тростенцова Лидия",1596.0,1,0.0,False
Биология. Рабочая тетрадь. 7 класс. Базовый уровень. ФГОС | Пасечник Владимир Васильевич,440.0,2,0.0,False
"Русский язык 4 класс. Тесты. ФГОС. УМК ""Школа России"" | Занадворова Анна Владимировна",308.0,1,0.0,False
"Английский язык 4 класс. Рабочая тетрадь (к новому ФП). Комплект в 2-х частях. УМК Starlight. Звездный английский (2-4. ФГОС | Баранова Ксения Михайловна, Дули Дженни",1138.0,1,0.0,False
"Литературное чтение 1 класс. Работа с текстом. УМК ""Школа России"". ФГОС | Бойкина Марина Викторовна, Бубнова Инна Анатольевна",278.0,1,0.0,False
"Алгебра 8 класс. Учебник | Мерзляк Аркадий Григорьевич, Полонский Виталий Борисович",1012.0,1,9.536743e-07,True
Литературное чтение 3 класс. Читаем летом. К учебникам Л.Ф. Климановой. ФГОС | Фомин Олег Валерьевич,433.0,1,0.0,False
